dataset,model,nb_class,thread_time_mean,process_time_mean,raw_time_mean,liczba_regul_mean,srednia_dlugosc_reguly_mean,suma_warunkow_mean,train_acc_mean,test_acc_mean,train_bacc_mean,test_bacc_mean,thread_time_std,process_time_std,raw_time_std,liczba_regul_std,srednia_dlugosc_reguly_std,suma_warunkow_std,train_acc_std,test_acc_std,train_bacc_std,test_bacc_std
adult,AQ15,2,1384.845,1384.845,1384.845,2566.4,6.753,17213.5,0.88,0.825,0.763,0.674,867.142,867.142,867.142,1052.383,0.35,6781.589,0.043,0.011,0.076,0.046
adult,BRCG,2,136.487,262.01,136.593,1.2,1.2,1.5,0.784,0.783,0.604,0.603,11.591,24.689,11.576,0.422,0.35,0.85,0.006,0.009,0.029,0.032
adult,CN2_default,2,1121.039,1122.067,1121.123,6176.5,3.493,21574.1,0.982,0.836,0.969,0.761,59.499,59.533,59.498,227.221,0.056,854.927,0.002,0.003,0.003,0.005
adult,CN2_v2,2,23672.785,23693.877,23674.088,4892.8,2.932,14347.2,0.97,0.821,0.958,0.754,1022.733,1023.535,1022.716,84.968,0.029,307.501,0.002,0.007,0.005,0.008
adult,IDS,2,31.493,31.525,31.499,15.3,1.879,28.8,0.761,0.761,0.5,0.5,2.176,2.184,2.176,2.71,0.071,5.432,0.0,0.0,0.0,0.0
adult,JRip,2,10.136,34.982,10.651,16.4,5.044,84.0,0.849,0.846,0.751,0.746,4.075,23.816,4.389,3.836,0.432,25.171,0.003,0.006,0.006,0.011
adult,LORD,2,1.191,1.191,1.191,8225.0,5.031,41375.8,,0.85,,,0.558,0.558,0.558,161.3,0.092,1011.058,,0.004,,
adult,MLRules,2,48.224,49.621,48.254,100.0,7.749,774.9,0.868,0.864,0.787,0.782,1.49,4.794,1.523,0.0,0.108,10.785,0.001,0.004,0.002,0.006
adult,OneR,2,0.111,0.129,0.111,22.6,1.0,22.6,0.811,0.811,0.606,0.606,0.019,0.061,0.019,1.647,0.0,1.647,0.0,0.002,0.001,0.005
adult,RuleKit_mincov-10perMinClass_measure-C2,2,13.343,13.343,13.343,23.8,5.863,139.5,0.842,0.841,0.759,0.757,1.154,1.154,1.154,0.422,0.297,6.587,0.003,0.006,0.007,0.007
adult,RuleKit_mincov-10perMinClass_measure-C2_maxNbRules-10,2,9.938,9.938,9.938,20.0,5.855,117.1,0.836,0.835,0.788,0.785,1.403,1.403,1.403,0.0,0.213,4.254,0.002,0.005,0.007,0.007
