dataset,nb_class,model,iteration,thread_time,process_time,raw_time,liczba_regul,srednia_dlugosc_reguly,suma_warunkow,train_acc,test_acc,train_bacc,test_bacc
adult,2,AQ15,0,1872.478,1872.478,1872.478,3539.0,6.912,24461.0,0.873,0.833,0.734,0.678
adult,2,AQ15,1,2836.034,2836.034,2836.034,4054.0,6.357,25772.0,0.941,0.83,0.877,0.726
adult,2,AQ15,2,694.184,694.184,694.184,1819.0,7.276,13235.0,0.825,0.812,0.634,0.615
adult,2,AQ15,3,2407.335,2407.335,2407.335,3609.0,6.461,23317.0,0.927,0.841,0.847,0.728
adult,2,AQ15,4,1937.381,1937.381,1937.381,3278.0,6.743,22104.0,0.902,0.835,0.795,0.703
adult,2,AQ15,5,406.31,406.31,406.31,1224.0,6.868,8406.0,0.86,0.826,0.707,0.661
adult,2,AQ15,6,1558.883,1558.883,1558.883,2752.0,6.513,17924.0,0.91,0.826,0.813,0.696
adult,2,AQ15,7,341.058,341.058,341.058,1098.0,6.901,7577.0,0.849,0.822,0.685,0.647
adult,2,AQ15,8,750.155,750.155,750.155,1752.0,6.266,10978.0,0.905,0.827,0.801,0.699
adult,2,AQ15,9,1044.628,1044.628,1044.628,2539.0,7.232,18361.0,0.812,0.802,0.738,0.59
adult,2,BRCG,0,130.793,263.942,130.816,1.0,1.0,1.0,0.78,0.781,0.586,0.587
adult,2,BRCG,1,161.452,287.288,161.509,1.0,1.0,1.0,0.78,0.78,0.585,0.59
adult,2,BRCG,2,120.436,228.386,120.49,1.0,1.0,1.0,0.781,0.769,0.588,0.568
adult,2,BRCG,3,137.874,260.09,137.913,1.0,2.0,2.0,0.787,0.792,0.645,0.649
adult,2,BRCG,4,138.239,303.487,138.354,2.0,1.5,3.0,0.794,0.796,0.647,0.652
adult,2,BRCG,5,127.859,280.611,128.046,1.0,1.0,1.0,0.78,0.782,0.585,0.589
adult,2,BRCG,6,135.998,231.779,136.161,1.0,1.0,1.0,0.78,0.778,0.585,0.592
adult,2,BRCG,7,149.239,267.392,149.315,2.0,1.5,3.0,0.794,0.796,0.648,0.646
adult,2,BRCG,8,130.127,235.559,130.244,1.0,1.0,1.0,0.78,0.775,0.587,0.58
adult,2,BRCG,9,132.854,261.569,133.078,1.0,1.0,1.0,0.78,0.777,0.586,0.58
